TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-04-04,2025-04-04,FO,NSE,STF,73428,,INDHOTEL,,2025-04-24,2025-04-24,,,INDHOTEL25APRFUT,829.7,835.75,797.95,802.4,802.85,834.55,799.35,802.4,18805000,-175000,5480,4453437200.0,4517,F1,1000,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57271,,INDHOTEL,,2025-05-29,2025-05-29,,,INDHOTEL25MAYFUT,838.6,839.6,803.2,807.3,807.15,839.7,799.35,807.3,385000,41000,346,283154700.0,311,F1,1000,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57272,,INDIANB,,2025-05-29,2025-05-29,,,INDIANB25MAYFUT,553.4,553.4,538.75,541.3,542.05,551.6,546.05,541.3,53200,3800,86,44562647.5,85,F1,950,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,56989,,INDIANB,,2025-06-26,2025-06-26,,,INDIANB25JUNFUT,547.3,547.3,540.0,540.0,540.0,550.5,546.05,540.0,6650,2850,4,2064635.0,4,F1,950,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73429,,INDIANB,,2025-04-24,2025-04-24,,,INDIANB25APRFUT,553.0,554.05,538.6,542.4,544.05,551.3,546.05,542.4,5152800,195700,2556,1323558002.5,2121,F1,950,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,56998,,INOXWIND,,2025-04-24,2025-04-24,,,INOXWIND25APRFUT,159.18,159.18,149.63,153.92,155.38,159.26,153.85,153.92,4298925,-270900,1235,608773704.0,1131,F1,3225,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,56999,,INOXWIND,,2025-05-29,2025-05-29,,,INOXWIND25MAYFUT,155.01,155.01,148.5,151.89,153.25,158.67,153.85,151.89,964275,-9675,87,42426261.75,84,F1,3225,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57002,,INOXWIND,,2025-06-26,2025-06-26,,,INOXWIND25JUNFUT,151.0,151.5,148.0,151.5,151.5,162.04,153.85,151.5,45150,6450,5,2420394.75,5,F1,3225,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,73465,,JINDALSTEL,,2025-04-24,2025-04-24,,,JINDALSTEL25APRFUT,907.9,908.05,847.6,853.5,854.0,909.65,850.1,853.5,19538125,475625,9608,5202426531.25,7504,F1,625,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57356,,JINDALSTEL,,2025-05-29,2025-05-29,,,JINDALSTEL25MAYFUT,908.1,908.95,854.1,859.45,860.0,916.0,850.1,859.45,258125,151250,447,242063656.25,226,F1,625,,,,,
2025-04-04,2025-04-04,FO,NSE,STF,57013,,JINDALSTEL,,2025-06-26,2025-06-26,,,JINDALSTEL25JUNFUT,914.0,914.0,860.0,864.0,864.3,921.2,850.1,864.0,10000,6250,21,11513625.0,21,F1,625,,,,,
