BAJAJ-AUTO,,CYIENT,,,,,,,,,,,,,,,,MAZDOCK,GVT&D,,KAYNES,CHOLAHLDNG,BERGEPAINT,ITC,DMART,,,,,,,,,,,,,,,,ITC,,,,
BAJAJFINSV,,DABUR,,,,,,,,,,,,,,,,MFSL,HDFCAMC,,KEC,CLEAN,BHARATFORG,JINDALSTEL,DRREDDY,,,,,,,,,,,,,,,,JINDALSTEL,,,,
BAJAJHFL,,DALBHARAT,,,,,,,,,,,,,,,,MOTILALOFS,HINDPETRO,,KFINTECH,COHANCE,BHARTIHEXA,JIOFIN,EICHERMOT,,,,,,,,,,,,,,,,JIOFIN,,,,
BAJAJHLDNG,,DELHIVERY,,,,,,,,,,,,,,,,MPHASIS,HINDZINC,,KPIL,CONCORDBIO,BHEL,JSWENERGY,ESCORTS,,,,,,,,,,,,,,,,JSWENERGY,,,,
BAJFINANCE,,DIVISLAB,,,,,,,,,,,,,,,,MRF,HONAUT,,LALPATHLAB,CRAFTSMAN,BIKAJI,JSWSTEEL,ETERNAL,,,,,,,,,,,,,,,,JSWSTEEL,,,,
BALKRISIND,,DIXON,,,,,,,,,,,,,,,,MUTHOOTFIN,HUDCO,,LAURUSLABS,CREDITACC,BIOCON,KOTAKBANK,EXIDEIND,,,,,,,,,,,,,,,,KOTAKBANK,,,,
BALRAMCHIN,,DLF,,,,,,,,,,,,,,,,NATIONALUM,IDEA,,MANAPPURAM,CROMPTON,BLS,LICI,FEDERALBNK,,,,,,,,,,,,,,,,LICI,,,,
BANDHANBNK,,DMART,,,,,,,,,,,,,,,,NHPC,IDFCFIRSTB,,MCX,CUB,BLUEDART,LODHA,GAIL,,,,,,,,,,,,,,,,LODHA,,,,
BANKBARODA,,DRREDDY,,,,,,,,,,,,,,,,NIFTY MIDCAP 100,IGL,,MGL,CYIENT,BLUESTARCO,LT,GLENMARK,,,,,,,,,,,,,,,,LT,,,,
BANKINDIA,,EICHERMOT,,,,,,,,,,,,,,,,NMDC,INDIANB,,NATCOPHARM,DATAPATTNS,BRIGADE,LTIM,GMRAIRPORT,,,,,,,,,,,,,,,,LTIM,,,,
BASF,,ETERNAL,,,,,,,,,,,,,,,,NTPCGREEN,INDUSTOWER,,NAVINFLUOR,DBREALTY,BSE,M&M,GODREJCP,,,,,,,,,,,,,,,,M&M,,,,
BATAINDIA,,EXIDEIND,,,,,,,,,,,,,,,,NYKAA,IPCALAB,,NBCC,DCMSHRIRAM,BSOFT,MARUTI,GODREJPROP,,,,,,,,,,,,,,,,MARUTI,,,,
BAYERCROP,,FEDERALBNK,,,,,,,,,,,,,,,,OBEROIRLTY,IRB,,NCC,DEEPAKFERT,CAMPUS,MOTHERSON,GRASIM,,,,,,,,,,,,,,,,MOTHERSON,,,,
